# {FROM RC}
#SELECT groupid, artifactid, version, setseed(0.6) FROM
#    (SELECT DISTINCT p.groupid,p.artifactid,p.version FROM packages p
#    JOIN tags t on p.groupid = t.groupid and p.artifactid = t.artifactid and p.version = t.version
#    WHERE buildspec_path is not null
#    AND line_ending_lf is not null
#    AND tag_name is not null) sub
#ORDER BY random() LIMIT 100;

# {NOT FROM RC WITH TIMESTAMP PROPERTY}
#SELECT groupid, artifactid, version, setseed(0.6) FROM
#    (SELECT DISTINCT p.groupid,p.artifactid,p.version FROM packages p
#    JOIN tags t on p.groupid = t.groupid and p.artifactid = t.artifactid and p.version = t.version
#     WHERE buildspec_path is null
#       AND line_ending_lf is not null
#       AND output_timestamp_prop is not null
#       AND tag_name is not null) sub
#ORDER BY random() LIMIT 100;

# {NOT FROM RC WITHOUT TIMESTAMP PROPERTY}
#SELECT groupid, artifactid, version, setseed(0.6) FROM
#    (SELECT DISTINCT p.groupid,p.artifactid,p.version FROM packages p
#    JOIN tags t on p.groupid = t.groupid and p.artifactid = t.artifactid and p.version = t.version
#     WHERE buildspec_path is null
#       AND line_ending_lf is not null
#       AND output_timestamp_prop is null
#       AND tag_name is not null) sub
#ORDER BY random() LIMIT 100;


groupid,artifactid,version # Header
eu.maveniverse.maven.mima.runtime,standalone-static,2.2.0
org.apache.maven.doxia,doxia-sink-api,1.9.1
io.liftwizard,liftwizard-healthcheck-reladomo,0.33.0
io.dropwizard.metrics5,metrics-ehcache,5.0.0-rc14
org.apache.maven.resolver,maven-resolver-transport-http,1.6.2
org.apache.directory.api,api-util,2.1.1
org.apache.dubbo,dubbo-container-api,3.0.6
org.apache.sling,org.apache.sling.resourceaccesssecurity,1.1.0
io.liftwizard,liftwizard-config-metrics-reporter-slf4j,0.32.0
org.apache.dubbo,dubbo-serialization-protostuff,2.7.7
org.apache.drill.contrib,drill-format-excel,1.21.0
org.apache.drill.contrib,drill-jdbc-storage,1.21.0


# {NOT FROM RC WITH TIMESTAMP PROPERTY}
org.apache.linkis,linkis-cli-common,1.1.3
org.apache.dubbo.extensions,dubbo-filter-polaris-circuitbreaker-dubbo2,1.0.0
org.apache.camel.quarkus,camel-quarkus-integration-test-xmpp,2.6.0
org.apache.seatunnel,seatunnel-engine-server,2.3.0-beta
org.apache.camel.quarkus,camel-quarkus-ssh,1.8.0
org.apache.streampark,streampark-flink-shims_flink-1.16_2.12,2.1.0
org.apache.syncope.ext.saml2sp4ui,syncope-ext-saml2sp4ui-logic,3.0.0-M0
org.apache.camel.quarkus,camel-quarkus-kamelet-reify,2.1.0
org.apache.camel.quarkus,camel-quarkus-integration-test-core-languages,2.13.1
org.apache.streampark,streampark-flink-connector-kafka_2.11,2.0.0
org.apache.camel.quarkus,camel-quarkus-integration-test-geocoder,2.6.0
org.apache.camel.quarkus,camel-quarkus-integration-test-foundation,1.6.0
io.streamnative.connectors,pulsar-spark-connector_2.12,3.1.1.4
org.apache.camel.quarkus,camel-quarkus-slack,2.13.1
com.alibaba.msha,client-bridge-rpc-base,0.2.1
org.apache.sedona,sedona-viz-3.0_2.12,1.3.0-incubating
org.apache.bahir,flink-connector-pinot_2.11,1.1.0
org.apache.seatunnel,connector-iceberg-hadoop3-flink-e2e,2.3.0
io.streamnative,pulsar-io-kafka-connect-adaptor,2.10.0-rc-202202062205
org.glassfish.jersey.media,html-json,3.0.10
org.apache.flume.flume-shared,flume-shared-kafka,1.10.1
org.apache.dubbo.extensions,dubbo-metadata-report-consul,1.0.1
org.apache.seatunnel,connector-assert,2.3.0
org.apache.activemq.examples.broker,jms-bridge,2.20.0
org.apache.dolphinscheduler,dolphinscheduler-task-openmldb,3.1.5
org.apache.sedona,sedona-core-3.0_2.13,1.3.0-incubating
org.apache.kylin,kylin-data-loading-server,5.0.0-alpha
org.apache.camel.quarkus,camel-quarkus-nsq-deployment,2.5.0
org.apache.skywalking,data-generator,9.2.0
org.apache.camel.quarkus,camel-quarkus-aws2-ecs-deployment,1.5.0
org.glassfish.main.security,security-ee,7.0.4
org.apache.dolphinscheduler,dolphinscheduler-alert-dingtalk,3.0.2
org.apache.camel.quarkus,camel-quarkus-schematron-integration-test,2.0.0-M1
org.apache.flink,flink-table-store-common,0.3.0
ai.platon.pulsar,pulsar-ql-common,1.10.11
org.apache.syncope.ext.scimv2,syncope-ext-scimv2-scim-rest-cxf,2.1.10
io.streamnative,pulsar-broker-auth-sasl,2.10.0-rc-202110212205
org.apache.camel.quarkus,camel-quarkus-hl7,2.15.0
org.apache.camel.quarkus,camel-quarkus-cron,2.8.0
org.glassfish.mq,mqbroker-comm,6.4.0
org.apache.camel.quarkus,camel-quarkus-jfr-deployment,2.8.0
org.apache.sling,org.apache.sling.jcr.webconsole,1.1.0
org.glassfish.mq,mqpartition-persist-jdbc,6.4.0
org.apache.camel.quarkus,perf-regression,2.15.0
org.apache.dolphinscheduler,dolphinscheduler-task-seatunnel,3.1.5
org.apache.camel.quarkus,camel-quarkus-xmpp,2.1.0
org.apache.flink,flink-ml-core_2.12,2.0.0
org.finos.legend.engine,legend-engine-xt-authentication-grammar,4.11.1
org.apache.hbase,hbase-endpoint,2.3.6
org.apache.camel.quarkus,camel-quarkus-openstack,2.8.0-M1
io.dropwizard.metrics,metrics-annotation,4.2.0-rc.3
org.apache.flink,statefun-async-example,2.2.0
org.apache.camel.kamelets,camel-kamelets,0.7.1
org.apache.felix,org.apache.felix.http.inventoryprinter,1.0.0
org.glassfish.main.extras,jakartaee,7.0.2
org.apache.camel.quarkus,camel-quarkus-integration-test-google-functions,2.10.0
io.fabric8,tekton-model-triggers-v1beta1,6.5.1
org.sonatype.goodies.dropwizard,dropwizard-support-shiro,2.0.0
org.apache.seatunnel,imap-storage-api,2.3.1
org.apache.zookeeper,zookeeper-contrib-fatjar,3.6.4
org.apache.dubbo.extensions,dubbo-filter-seata,1.0.2
org.apache.seatunnel,seatunnel-spark-connector-v2-example,2.3.1
org.sonatype.nexus.maven,nexus-common,1.6.9
org.apache.streampipes,streampipes-service-discovery-api,0.70.0
org.apache.camel.quarkus,camel-quarkus-xpath-deployment,2.0.0-M2
org.apache.camel.quarkus,camel-quarkus-integration-test-jgroups-raft,2.13.2
